time,wind_speed_100m,temperature_2m
2026-08-02 07:00:00,3.94,14.1
2026-08-02 08:00:00,3.71,14.6
2026-08-02 09:00:00,3.64,15.3
2026-08-02 10:00:00,3.8,16.4
2026-08-02 11:00:00,3.98,17.6
2026-08-02 12:00:00,4.19,18.8
2026-08-02 13:00:00,4.2,19.7
2026-08-02 14:00:00,4.02,20.2
2026-08-02 15:00:00,3.6,20.2
2026-08-02 16:00:00,3.1,19.9
2026-08-02 17:00:00,2.83,19.2
2026-08-02 18:00:00,2.83,18.5
2026-08-02 19:00:00,3.09,17.8
2026-08-02 20:00:00,3.31,17.2
2026-08-02 21:00:00,3.4,16.7
2026-08-02 22:00:00,3.48,16.1
2026-08-02 23:00:00,3.69,15.5
